// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	       878	       746
       100	     10000	       708	       276
      1000	     10000	       383	       376
        10	     20000	       350	       449
       100	     20000	       327	       415
      1000	     20000	       369	       288
     10000	     20000	       249	       979
        10	     30000	       309	       313
       100	     30000	       362	       316
      1000	     30000	       380	       336
     10000	     30000	       444	       441
        10	     40000	       492	       275
       100	     40000	       542	       430
      1000	     40000	       429	       418
     10000	     40000	       468	       561
        10	     50000	       543	       372
       100	     50000	       661	       462
      1000	     50000	       537	       504
     10000	     50000	       462	       451
        10	     60000	       718	       615
       100	     60000	       624	       510
      1000	     60000	       628	       552
     10000	     60000	       523	       485
        10	     70000	       710	       598
       100	     70000	       673	       555
      1000	     70000	       702	       672
     10000	     70000	       735	       556
        10	     80000	       841	       679
       100	     80000	       768	       683
      1000	     80000	       743	       708
     10000	     80000	       799	       605
        10	     90000	       831	       748
       100	     90000	       929	       862
      1000	     90000	       831	       721
     10000	     90000	       910	       917
        10	    100000	       887	       763
       100	    100000	       904	      1058
      1000	    100000	       854	       922
     10000	    100000	      1162	       883
        10	    110000	      1149	      1045
       100	    110000	      1180	       836
      1000	    110000	      1059	      1007
     10000	    110000	      1112	       941
        10	    120000	      1220	      1063
       100	    120000	      1235	      1054
      1000	    120000	      1188	      1023
     10000	    120000	      1256	       933
        10	    130000	      1413	      1036
       100	    130000	      1411	      1041
      1000	    130000	      1396	      1161
     10000	    130000	      1177	      1098
        10	    140000	      1320	      1141
       100	    140000	      1427	      1043
      1000	    140000	      1367	      1240
     10000	    140000	      1336	      1113
        10	    150000	      1481	      1161
       100	    150000	      1570	      1314
      1000	    150000	      1529	      1396
     10000	    150000	      1549	      1071
        10	    160000	      1949	      1511
       100	    160000	      1600	      1363
      1000	    160000	      1528	      1150
     10000	    160000	      1528	      1224
        10	    170000	      1822	      1422
       100	    170000	      1768	      1597
      1000	    170000	      1729	      1260
     10000	    170000	      1738	      1291
        10	    180000	      1759	      1357
       100	    180000	      1932	      1655
      1000	    180000	      1577	      1633
     10000	    180000	      1966	      1280
        10	    190000	      2079	      1526
       100	    190000	      1762	      1358
      1000	    190000	      1786	      1348
     10000	    190000	      1921	      1567
        10	    200000	      2309	      1918
       100	    200000	      1933	      1776
      1000	    200000	      2051	      1443
     10000	    200000	      1889	      1442
    100000	    200000	      2159	      1248
        10	    210000	      2331	      1852
       100	    210000	      2200	      1663
      1000	    210000	      2065	      1918
     10000	    210000	      2121	      1866
    100000	    210000	      2276	      1472
        10	    220000	      2306	      1806
       100	    220000	      1998	      1894
      1000	    220000	      2122	      1802
     10000	    220000	      2239	      1666
    100000	    220000	      2348	      1539
        10	    230000	      2458	      1733
       100	    230000	      1878	      1797
      1000	    230000	      1799	      1843
     10000	    230000	      1827	      1499
    100000	    230000	      2229	      1273
        10	    240000	      2565	      2210
       100	    240000	      2683	      1915
      1000	    240000	      2248	      1835
     10000	    240000	      2258	      1776
    100000	    240000	      2760	      1484
        10	    250000	      2614	      2347
       100	    250000	      2465	      2048
      1000	    250000	      2377	      2224
     10000	    250000	      2551	      1853
    100000	    250000	      2784	      1515
        10	    260000	      2855	      2090
       100	    260000	      2566	      2008
      1000	    260000	      2802	      2347
     10000	    260000	      2457	      1934
    100000	    260000	      3014	      1592
        10	    270000	      2703	      2381
       100	    270000	      2819	      2065
      1000	    270000	      2772	      2166
     10000	    270000	      2733	      2061
    100000	    270000	      3290	      1766
        10	    280000	      2744	      2283
       100	    280000	      2486	      2167
      1000	    280000	      2959	      2427
     10000	    280000	      2903	      2296
    100000	    280000	      3339	      1797
        10	    290000	      2958	      2524
       100	    290000	      2637	      2305
      1000	    290000	      2894	      2198
     10000	    290000	      3335	      2295
    100000	    290000	      3109	      1842
        10	    300000	      3258	      2418
       100	    300000	      2856	      2139
      1000	    300000	      2783	      2595
     10000	    300000	      2927	      2234
    100000	    300000	      3424	      1543
        10	    310000	      3319	      2533
       100	    310000	      2556	      2180
      1000	    310000	      2438	      2292
     10000	    310000	      2592	      1877
    100000	    310000	      3618	      1634
        10	    320000	      2982	      2565
       100	    320000	      2998	      2259
      1000	    320000	      2629	      2354
     10000	    320000	      2655	      2062
    100000	    320000	      3803	      1806
        10	    330000	      3210	      2606
       100	    330000	      2922	      2290
      1000	    330000	      3336	      2264
     10000	    330000	      2819	      4341
    100000	    330000	      3864	      1845
        10	    340000	      3967	      2414
       100	    340000	      2987	      2354
      1000	    340000	      2794	      2349
     10000	    340000	      3169	      2293
    100000	    340000	      3688	      1845
        10	    350000	      4310	      2771
       100	    350000	      2933	      2721
      1000	    350000	      2949	      3006
     10000	    350000	      3173	      2809
    100000	    350000	      3802	      1873
        10	    360000	      4033	      3003
       100	    360000	      3362	      2929
      1000	    360000	      3532	      3233
     10000	    360000	      3450	      2693
    100000	    360000	      4140	      2032
        10	    370000	      3700	      2942
       100	    370000	      3262	      2945
      1000	    370000	      3536	      2915
     10000	    370000	      3727	      2702
    100000	    370000	      4301	      1930
        10	    380000	      3751	      2994
       100	    380000	      3504	      3134
      1000	    380000	      3860	      2920
     10000	    380000	      4001	      2856
    100000	    380000	      4307	      5272
        10	    390000	      4450	      2785
       100	    390000	      3983	      3434
      1000	    390000	      3731	      2720
     10000	    390000	      3575	      2544
    100000	    390000	      3771	      1823
        10	    400000	      4477	      2887
       100	    400000	      3383	      2763
      1000	    400000	      3231	      2772
     10000	    400000	      4004	      2573
    100000	    400000	      4058	      1757
        10	    410000	      4890	      2918
       100	    410000	      3486	      3142
      1000	    410000	      3286	      3002
     10000	    410000	      4209	      2732
    100000	    410000	      3997	      1884
        10	    420000	      4031	      2983
       100	    420000	      3429	      2860
      1000	    420000	      3415	      3461
     10000	    420000	      3926	      2726
    100000	    420000	      4601	      2174
        10	    430000	      3972	      3624
       100	    430000	      3928	      3700
      1000	    430000	      4436	      3539
     10000	    430000	      4089	      3131
    100000	    430000	      4894	      4134
        10	    440000	      4225	      3167
       100	    440000	      4188	      3547
      1000	    440000	      4017	      3462
     10000	    440000	      4251	      3295
    100000	    440000	      4776	      2180
        10	    450000	      5638	      3500
       100	    450000	      4309	      3576
      1000	    450000	      4253	      3446
     10000	    450000	      4392	      3175
    100000	    450000	      5227	      2285
        10	    460000	      4908	      3286
       100	    460000	      3765	      3136
      1000	    460000	      4022	      3145
     10000	    460000	      3922	      2815
    100000	    460000	      5089	      1968
        10	    470000	      5044	      3485
       100	    470000	      3808	      3138
      1000	    470000	      4984	      3172
     10000	    470000	      4461	      3136
    100000	    470000	      4764	      2081
        10	    480000	      5124	      3747
       100	    480000	      3950	      3605
      1000	    480000	      5798	      3556
     10000	    480000	      4370	      2935
    100000	    480000	      4634	      4699
        10	    490000	      4980	      3508
       100	    490000	      4176	      3469
      1000	    490000	      4030	      3395
     10000	    490000	      4447	      3402
    100000	    490000	      5159	      2023
        10	    500000	      5177	      3437
       100	    500000	      4157	      3526
      1000	    500000	      4486	      3518
     10000	    500000	      4470	      3190
    100000	    500000	      5244	      2058
        10	    510000	      4922	      4233
       100	    510000	      4389	      3551
      1000	    510000	      4647	      3533
     10000	    510000	      4466	      3133
    100000	    510000	      5069	      2120
        10	    520000	      4965	      3908
       100	    520000	      4498	      3997
      1000	    520000	      5099	      3671
     10000	    520000	      4537	      3100
    100000	    520000	      5227	      2264
        10	    530000	      5001	      3579
       100	    530000	      5095	      3620
      1000	    530000	      4722	      3816
     10000	    530000	      4348	      3318
    100000	    530000	      5297	      2189
        10	    540000	      5555	      4201
       100	    540000	      4303	      4180
      1000	    540000	      4661	      3662
     10000	    540000	      4553	      3345
    100000	    540000	      5303	      2287
        10	    550000	      5783	      3866
       100	    550000	      5135	      3823
      1000	    550000	      4837	      3861
     10000	    550000	      5032	      3427
    100000	    550000	      5846	      2292
        10	    560000	      5647	      3845
       100	    560000	      4558	      3973
      1000	    560000	      5060	      3926
     10000	    560000	      4823	      3442
    100000	    560000	      5620	      2512
        10	    570000	      5587	      3944
       100	    570000	      4576	      3921
      1000	    570000	      4967	      3962
     10000	    570000	      4905	      3677
    100000	    570000	      5947	      2338
        10	    580000	      5722	      4140
       100	    580000	      4690	      4552
      1000	    580000	      5671	      3893
     10000	    580000	      5067	      3524
    100000	    580000	      5657	      2468
        10	    590000	      5495	      4081
       100	    590000	      5136	      4042
      1000	    590000	      4686	      4141
     10000	    590000	      5027	      3660
    100000	    590000	      5653	      2751
        10	    600000	      6124	      4223
       100	    600000	      4909	      4303
      1000	    600000	      5594	      4155
     10000	    600000	      5200	      3722
    100000	    600000	      6113	      2417
        10	    610000	      6620	      4133
       100	    610000	      5537	      4328
      1000	    610000	      4888	      4192
     10000	    610000	      6390	      3776
    100000	    610000	      5997	      2385
        10	    620000	      5660	      4437
       100	    620000	      5161	      4407
      1000	    620000	      5126	      4278
     10000	    620000	      5280	      3811
    100000	    620000	      6023	      2446
        10	    630000	      6471	      4897
       100	    630000	      5097	      4351
      1000	    630000	      5382	      4312
     10000	    630000	      5534	      3900
    100000	    630000	      6464	      2510
        10	    640000	      6369	      4474
       100	    640000	      6136	      4371
      1000	    640000	      5487	      4409
     10000	    640000	      5547	      3920
    100000	    640000	      6592	      2483
        10	    650000	      6584	      4337
       100	    650000	      6005	      4623
      1000	    650000	      5848	      4547
     10000	    650000	      5367	      4168
    100000	    650000	      6419	      2753
        10	    660000	      6504	      4568
       100	    660000	      5129	      4549
      1000	    660000	      6401	      4661
     10000	    660000	      5567	      4103
    100000	    660000	      6539	      2667
        10	    670000	      6409	      4579
       100	    670000	      5451	      4800
      1000	    670000	      6346	      4504
     10000	    670000	      5567	      4110
    100000	    670000	      6954	      2650
        10	    680000	      6649	      4608
       100	    680000	      5408	      4613
      1000	    680000	      6669	      4585
     10000	    680000	      5641	      4148
    100000	    680000	      6873	      2702
        10	    690000	      6264	      4786
       100	    690000	      5613	      4795
      1000	    690000	      6597	      4627
     10000	    690000	      5654	      4183
    100000	    690000	      7302	      2706
        10	    700000	      6535	      4712
       100	    700000	      5624	      4946
      1000	    700000	      6260	      4704
     10000	    700000	      5804	      4613
    100000	    700000	      7265	      4244
        10	    710000	      6998	      4745
       100	    710000	      5620	      4987
      1000	    710000	      6030	      4931
     10000	    710000	      6273	      4383
    100000	    710000	      6802	      2758
        10	    720000	      6812	      5035
       100	    720000	      5629	      4907
      1000	    720000	      5939	      5038
     10000	    720000	      5998	      4397
    100000	    720000	      7240	      2839
        10	    730000	      7226	      5013
       100	    730000	      6180	      5043
      1000	    730000	      5722	      4946
     10000	    730000	      6007	      4467
    100000	    730000	      7019	      2837
        10	    740000	      7235	      5000
       100	    740000	      6083	      5469
      1000	    740000	      6393	      5075
     10000	    740000	      6370	      4568
    100000	    740000	      7155	      4254
        10	    750000	      7290	      5106
       100	    750000	      6071	      5213
      1000	    750000	      6431	      5128
     10000	    750000	      6309	      4569
    100000	    750000	      7561	      2924
        10	    760000	      6742	      5137
       100	    760000	      6220	      6095
      1000	    760000	      6618	      5237
     10000	    760000	      6954	      4538
    100000	    760000	      7388	      3116
        10	    770000	      7178	      5225
       100	    770000	      6193	      5221
      1000	    770000	      6398	      5262
     10000	    770000	      6392	      4574
    100000	    770000	      7480	      3053
        10	    780000	      6857	      5598
       100	    780000	      6419	      5431
      1000	    780000	      6937	      5170
     10000	    780000	      6921	      4912
    100000	    780000	      7666	      5116
        10	    790000	      7419	      5273
       100	    790000	      6951	      5384
      1000	    790000	      6535	      5460
     10000	    790000	      7321	      4855
    100000	    790000	      7778	      3014
        10	    800000	      7438	      6288
       100	    800000	      6566	      7179
      1000	    800000	      7266	      6366
     10000	    800000	      6627	      5110
    100000	    800000	      7861	      3054
        10	    810000	      7762	      5523
       100	    810000	      6657	      5525
      1000	    810000	      6964	      5740
     10000	    810000	      6845	      4904
    100000	    810000	      7764	      3089
        10	    820000	      6935	      5680
       100	    820000	      6944	      5582
      1000	    820000	      6550	      5619
     10000	    820000	      6844	      5219
    100000	    820000	      9113	      3589
        10	    830000	      7707	      5706
       100	    830000	      7428	      5727
      1000	    830000	      7545	      5764
     10000	    830000	      6809	      5123
    100000	    830000	      8366	      3104
        10	    840000	      7569	      5716
       100	    840000	      7716	      5789
      1000	    840000	      6655	      5746
     10000	    840000	      7261	      5260
    100000	    840000	      8134	      3236
        10	    850000	      8053	      5801
       100	    850000	      8286	      5826
      1000	    850000	      6724	      5741
     10000	    850000	      7057	      5231
    100000	    850000	      8246	      3193
        10	    860000	      7576	      5980
       100	    860000	      7780	      5833
      1000	    860000	      7125	      6514
     10000	    860000	      7008	      5258
    100000	    860000	      9062	      3289
        10	    870000	      8202	      6081
       100	    870000	      7772	      6018
      1000	    870000	      7374	      5928
     10000	    870000	      7123	      5608
    100000	    870000	      8339	      3407
        10	    880000	      8480	      5961
       100	    880000	      7265	      5951
      1000	    880000	      7615	      5823
     10000	    880000	      7629	      5217
    100000	    880000	      8608	      3330
        10	    890000	      8204	      6226
       100	    890000	      7233	      5998
      1000	    890000	      7233	      6159
     10000	    890000	      8157	      5291
    100000	    890000	      9271	      3404
        10	    900000	      8525	      6160
       100	    900000	      7567	      6075
      1000	    900000	      7898	      6063
     10000	    900000	      7449	      5615
    100000	    900000	      8741	      3387
        10	    910000	      8725	      6242
       100	    910000	      7513	      6344
      1000	    910000	      7906	      6085
     10000	    910000	      8279	      5589
    100000	    910000	      8944	      3398
        10	    920000	      8614	      6356
       100	    920000	      8085	      6260
      1000	    920000	      7615	      6282
     10000	    920000	      7860	      5760
    100000	    920000	      9239	      3625
        10	    930000	      9131	      6476
       100	    930000	      7674	      6370
      1000	    930000	      7767	      6377
     10000	    930000	      8295	      5738
    100000	    930000	      9068	      3491
        10	    940000	      8756	      7039
       100	    940000	      7643	      6437
      1000	    940000	      7535	      6420
     10000	    940000	      8291	      5677
    100000	    940000	      9097	      3514
        10	    950000	      8974	      6676
       100	    950000	      8163	      6505
      1000	    950000	      7908	      6425
     10000	    950000	      7923	      5844
    100000	    950000	      9056	      3630
        10	    960000	      8529	      6470
       100	    960000	      8202	      6688
      1000	    960000	      8242	      6520
     10000	    960000	      8120	      5705
    100000	    960000	      9187	      3596
        10	    970000	      8836	      6766
       100	    970000	      8205	      6640
      1000	    970000	      8731	      6789
     10000	    970000	      8096	      5850
    100000	    970000	      9387	      3580
        10	    980000	      8719	      6747
       100	    980000	      8410	      6710
      1000	    980000	      8289	      6709
     10000	    980000	      7985	      5834
    100000	    980000	      9414	      3602
        10	    990000	      9149	      6820
       100	    990000	      8390	      7504
      1000	    990000	      8462	      6759
     10000	    990000	      8371	      6022
    100000	    990000	      9473	      5489
        10	   1000000	      9864	      6848
       100	   1000000	      8899	      6747
      1000	   1000000	      8751	      7070
     10000	   1000000	      8180	      5934
    100000	   1000000	      9738	      3851
